CustomerID,FirstName,LastName,DateOfBirth,PhoneNumber,EmailID,Address,NationalID,CreditScore
CUST000001,Monica,Soto,1980-09-15,+1-440-699-5202x333,cwarren@example.org,Unit 1377 Box 9392 DPO AE 75934,325-66-5097,844
CUST000002,Susan,Sims,1951-09-21,234-823-5035x80173,george25@example.net,"13901 Hernandez Shores Port Juanshire, ND 61882",757-94-4920,778
CUST000003,Jessica,Rivera,1956-10-26,731.663.9890x212,xedwards@example.com,"4926 Rogers Highway Suite 591 West Hectorshire, CT 11066",797-87-8136,794
CUST000004,Tara,Love,1989-12-05,001-212-554-5234x4640,millerchristine@example.net,"280 Patrick Mews New Laura, UT 40458",268-37-4313,661
CUST000005,Joseph,Madden,1951-05-21,267.507.7477x9032,benjamin07@example.com,"634 Gary Row West Austin, AS 37830",331-01-7199,645
CUST000006,Timothy,Williams,2002-03-29,271-726-5279x3561,stephanie95@example.net,"81193 Jason Port West Shannon, NJ 50948",455-43-4440,612
CUST000007,Nicolas,Hodges,1996-01-28,001-268-394-0297x9871,lisa01@example.com,"74486 Henderson Tunnel Suite 195 New Christopher, ID 50229",531-43-9544,755
CUST000008,Erica,Davis,1994-01-29,945-501-0321x22450,zjackson@example.net,"8656 Morris Mission Mooremouth, KY 74440",617-65-4381,737
CUST000009,Howard,Barton,1981-02-06,+1-888-239-2175x963,thomasjack@example.org,"84506 Davis Causeway Apt. 367 New Tracey, PR 98891",097-96-7263,820
CUST000010,Lauren,Torres,1958-06-22,2013073735,nicholasmiller@example.com,"2509 Wood Gateway Suite 141 North Holly, SC 83486",429-89-5505,788
CUST000011,Donald,Mcgee,1953-12-29,001-258-276-4415x19727,davidjohnson@example.org,"527 Campbell Bridge Suite 810 Stevensonfort, SC 33583",364-61-2964,822
CUST000012,Stephanie,Price,1983-04-29,(680)791-9045x170,orivers@example.net,Unit 7494 Box 0534 DPO AA 50778,311-71-1637,825
CUST000013,Lisa,Ho,1952-03-17,998-380-8337x084,vanessalewis@example.net,"PSC 9149, Box 6487 APO AE 97106",110-40-6933,776
CUST000014,Randy,Campbell,1959-08-03,8194867778,sandra05@example.org,"PSC 2716, Box 4543 APO AA 22449",701-75-2285,785
CUST000015,Thomas,Mccall,1975-10-11,+1-319-475-2462x22621,tbailey@example.net,"3468 Joshua Squares Apt. 924 Lake Paul, KS 09300",764-81-9210,790
CUST000016,Jessica,Wood,1974-01-18,+1-410-919-2587x9467,mackenzie81@example.com,"8587 Hubbard Circle North Matthewton, AK 59661",074-70-8970,635
CUST000017,Christopher,Young,1946-07-18,001-376-705-6173x01923,tracypatterson@example.com,"778 Raymond Cape New Amandahaven, TX 93110",895-79-5627,629
CUST000018,Theresa,Price,1949-08-21,001-909-616-1979,egilbert@example.com,"9375 Williams Union East Heather, PW 71391",551-63-4706,699
CUST000019,Kathy,Vega,1992-10-29,(538)995-1943x180,kylejohnson@example.net,"32044 Robles Mountains South Ericstad, NJ 96113",400-24-5900,718
CUST000020,Darren,Miller,1999-12-01,6539340492,jonessusan@example.net,"7236 Galloway Mountain Suite 228 Joshuaton, AL 28686",450-81-3679,648
CUST000021,Ronald,Gordon,1955-03-26,(859)505-4353x1490,amanda50@example.net,"5599 Townsend Neck Apt. 379 New Christinafurt, VT 65235",232-96-5730,661
CUST000022,Daryl,Mccoy,1977-02-05,971-349-6790,gkirk@example.com,"4273 Jacob Flats Apt. 157 Michaelfurt, MN 09754",885-30-2865,764
CUST000023,Alex,Hunter,1963-05-28,+1-443-202-2410x916,dhicks@example.org,"796 Myers Falls New Lauren, WY 14859",637-92-8541,848
CUST000024,Jamie,Munoz,2005-08-07,+1-526-924-2652x2773,christine56@example.net,"3904 Courtney Mission Robinborough, NC 37559",892-98-4871,747
CUST000025,Donald,Hill,1997-09-02,987.765.9680x92114,emckay@example.net,"748 Eric Ridges Suite 155 Brownport, VI 65615",220-70-3926,652
CUST000026,Haley,Allen,1961-03-15,(567)935-2865,debra34@example.org,"76155 Daniel Way Apt. 256 Port Ryanton, SD 99910",805-06-3933,691
CUST000027,Danielle,Taylor,1981-10-30,336.484.9990,karen16@example.com,"0917 Smith Walk Port Glen, ID 55255",625-71-8615,818
CUST000028,Kimberly,Spencer,1964-07-17,685.569.6744,kellymatthew@example.com,USCGC Salazar FPO AP 47141,527-72-6227,797
CUST000029,Victor,Page,1945-12-21,001-782-350-9996x5955,iday@example.org,"18240 Madison Squares Greentown, LA 53093",497-84-9008,629
CUST000030,Mercedes,Murphy,1972-07-29,(626)469-5782x5135,pamelaedwards@example.com,"398 Gonzales Mountains Apt. 867 Larsonfort, SC 50345",495-50-0313,769
CUST000031,Kristie,Odonnell,1985-08-27,296.351.9930,fmcintosh@example.org,"293 Robinson Walk Port James, AR 26262",155-55-4122,624
CUST000032,Amy,Wood,1982-10-21,001-819-368-5116x7625,pattersonjohn@example.org,"09655 Sarah Loaf Apt. 473 Lake Tylertown, OR 12324",382-14-3900,698
CUST000033,Eddie,Sexton,1954-06-07,(569)939-4475,olsenbrian@example.com,"6758 Roberts Mountain Joelfort, ID 67501",857-45-9328,795
CUST000034,Thomas,Haley,1969-11-23,(360)234-2528x0915,sheenaochoa@example.net,"61587 Robert Fords Henryfurt, OK 73955",230-97-1861,616
CUST000035,Michele,Fitzpatrick,1976-07-04,993-783-8360x721,wardpenny@example.net,"240 Laura Harbors Kevinmouth, OK 22622",297-18-8529,743
CUST000036,Nicole,Cardenas,1947-12-04,001-661-369-4652,amandaswanson@example.org,"6678 Carson Motorway Suite 919 Swansonberg, MN 58388",281-49-9434,644
CUST000037,Mark,Phillips,1945-12-19,(609)260-8599x601,hjones@example.com,"56091 Ronald Course South Samantha, AS 95151",229-29-3091,776
CUST000038,Sandra,Marshall,1995-08-27,504.611.6709x7717,randybaker@example.org,"9851 Garcia Inlet Apt. 775 Jonesfort, NM 46207",343-39-0860,739
CUST000039,Penny,Fields,1990-08-01,226-481-7029x5154,kerrchristopher@example.org,"975 Cameron Unions Suite 630 North Elizabeth, WV 45739",725-13-1779,663
CUST000040,Jacob,Rivera,1994-06-18,461-366-3093x21210,apope@example.com,"48651 Janet Circles Walkerchester, NJ 49337",079-59-1099,673
CUST000041,Connor,Robinson,1962-06-30,001-396-698-7887x03098,robinsonrebecca@example.org,USNS Mclaughlin FPO AA 06842,368-07-9220,760
CUST000042,Robert,Anderson,1972-03-16,001-744-369-0446x8778,fgoodwin@example.org,"0294 Christopher Forges Mckinneyside, AZ 69189",851-71-4907,610
CUST000043,Bobby,Woods,1989-12-17,001-932-352-8345x408,svaldez@example.org,Unit 8835 Box 5908 DPO AE 94568,546-02-2607,691
CUST000044,Rachel,Solomon,1951-06-21,643-982-7804,collinsandrew@example.org,"6483 Daniel Inlet Apt. 846 Barnettmouth, NY 66038",574-43-1378,722
CUST000045,Elizabeth,Brown,1995-04-23,399-758-2120x25741,randallmadison@example.net,"843 Julie Camp East Madeline, DE 14329",826-43-3539,809
CUST000046,Michael,Knox,1973-08-23,(737)276-3967x09012,mcdowelldavid@example.org,"518 Linda Via Suite 348 Davidburgh, OH 05922",020-22-5551,660
CUST000047,Brandon,Armstrong,1992-07-31,+1-564-957-2874x71171,felicia73@example.com,"1556 Day Isle Apt. 536 Port Christopher, NE 10657",228-58-8669,646
CUST000048,Jerry,Anderson,1946-01-27,566-717-5382x550,patrick84@example.net,"3840 Zachary Plaza New Antoniomouth, WA 46677",615-39-1209,714
CUST000049,Oscar,Hansen,1999-11-01,(739)764-2288x55829,bakernicholas@example.org,"6846 White Island Suite 213 Port Carlafort, KS 06193",481-72-1957,769
CUST000050,Kathryn,Perez,1971-06-08,001-652-236-5663x8664,danielle05@example.org,"40938 Hernandez Knolls New Monicaside, NY 14763",107-61-7540,699
CUST000051,Tim,Wang,1960-12-16,579-370-3140,irogers@example.org,Unit 0746 Box 8232 DPO AA 63593,651-80-3909,633
CUST000052,Caroline,Martinez,1983-07-20,001-745-563-9869x39963,sparksfelicia@example.org,"86606 Macdonald Place Apt. 610 Cunninghamhaven, FM 51888",040-83-6325,812
CUST000053,Scott,Davila,1981-02-17,+1-741-592-6643,brian51@example.com,"5195 John Trail South Stefanie, ND 44311",134-63-5920,676
CUST000054,David,Waters,1988-01-02,673-392-5791x9572,calebcollins@example.net,"36373 Brendan Flat Carlsonville, KS 11889",047-59-7931,847
