CustomerID,CustomerName,Contact,Address,Phone,Email
CUST0001,Customer 1,Contact 1,"145 Street Name, City",+1-357-5607,customer1@example.com
CUST0002,Customer 2,Contact 2,"267 Street Name, City",+1-397-3551,customer2@example.com
CUST0003,Customer 3,Contact 3,"317 Street Name, City",+1-358-3725,customer3@example.com
CUST0004,Customer 4,Contact 4,"418 Street Name, City",+1-359-7069,customer4@example.com
CUST0005,Customer 5,Contact 5,"884 Street Name, City",+1-592-5638,customer5@example.com
CUST0006,Customer 6,Contact 6,"519 Street Name, City",+1-923-9001,customer6@example.com
CUST0007,Customer 7,Contact 7,"578 Street Name, City",+1-358-9245,customer7@example.com
CUST0008,Customer 8,Contact 8,"652 Street Name, City",+1-561-7913,customer8@example.com
CUST0009,Customer 9,Contact 9,"197 Street Name, City",+1-320-6965,customer9@example.com
CUST0010,Customer 10,Contact 10,"303 Street Name, City",+1-866-1485,customer10@example.com
CUST0011,Customer 11,Contact 11,"856 Street Name, City",+1-317-3581,customer11@example.com
CUST0012,Customer 12,Contact 12,"376 Street Name, City",+1-344-5640,customer12@example.com
CUST0013,Customer 13,Contact 13,"689 Street Name, City",+1-940-6709,customer13@example.com
CUST0014,Customer 14,Contact 14,"654 Street Name, City",+1-915-2104,customer14@example.com
CUST0015,Customer 15,Contact 15,"351 Street Name, City",+1-110-5114,customer15@example.com
CUST0016,Customer 16,Contact 16,"753 Street Name, City",+1-621-2502,customer16@example.com
CUST0017,Customer 17,Contact 17,"79 Street Name, City",+1-964-2258,customer17@example.com
CUST0018,Customer 18,Contact 18,"864 Street Name, City",+1-419-6685,customer18@example.com
CUST0019,Customer 19,Contact 19,"267 Street Name, City",+1-542-9670,customer19@example.com
CUST0020,Customer 20,Contact 20,"349 Street Name, City",+1-775-4210,customer20@example.com
CUST0021,Customer 21,Contact 21,"950 Street Name, City",+1-103-8931,customer21@example.com
CUST0022,Customer 22,Contact 22,"425 Street Name, City",+1-625-8420,customer22@example.com
CUST0023,Customer 23,Contact 23,"750 Street Name, City",+1-668-8356,customer23@example.com
CUST0024,Customer 24,Contact 24,"999 Street Name, City",+1-408-4667,customer24@example.com
CUST0025,Customer 25,Contact 25,"497 Street Name, City",+1-272-9729,customer25@example.com
CUST0026,Customer 26,Contact 26,"226 Street Name, City",+1-143-3201,customer26@example.com
CUST0027,Customer 27,Contact 27,"983 Street Name, City",+1-622-1420,customer27@example.com
CUST0028,Customer 28,Contact 28,"187 Street Name, City",+1-784-5256,customer28@example.com
CUST0029,Customer 29,Contact 29,"512 Street Name, City",+1-881-2391,customer29@example.com
CUST0030,Customer 30,Contact 30,"573 Street Name, City",+1-127-2470,customer30@example.com
CUST0031,Customer 31,Contact 31,"296 Street Name, City",+1-254-5522,customer31@example.com
CUST0032,Customer 32,Contact 32,"666 Street Name, City",+1-806-2242,customer32@example.com
CUST0033,Customer 33,Contact 33,"31 Street Name, City",+1-662-9580,customer33@example.com
CUST0034,Customer 34,Contact 34,"161 Street Name, City",+1-203-3027,customer34@example.com
CUST0035,Customer 35,Contact 35,"269 Street Name, City",+1-367-6849,customer35@example.com
CUST0036,Customer 36,Contact 36,"163 Street Name, City",+1-114-3464,customer36@example.com
CUST0037,Customer 37,Contact 37,"547 Street Name, City",+1-599-8737,customer37@example.com
CUST0038,Customer 38,Contact 38,"564 Street Name, City",+1-796-7525,customer38@example.com
CUST0039,Customer 39,Contact 39,"358 Street Name, City",+1-555-3512,customer39@example.com
CUST0040,Customer 40,Contact 40,"948 Street Name, City",+1-485-9042,customer40@example.com
CUST0041,Customer 41,Contact 41,"992 Street Name, City",+1-655-9254,customer41@example.com
CUST0042,Customer 42,Contact 42,"955 Street Name, City",+1-909-6835,customer42@example.com
CUST0043,Customer 43,Contact 43,"172 Street Name, City",+1-661-2270,customer43@example.com
CUST0044,Customer 44,Contact 44,"897 Street Name, City",+1-488-9005,customer44@example.com
