OrderID,SupplierID,SupplierName,CustomerID,CustomerName,QuantityOrdered,OrderDate,ShipDate,OrderStatus,UnitPrice,TotalCost,InventoryLevel,WarehouseLocation
ORD0001,S399,"Alexander, Chandler and Cole",C844,John Martin,7,2025-01-01,2025-02-18,Pending,395,2765,194,LA Warehouse
ORD0002,S402,"Evans, Morris and Davis",C066,Michael Brown,7,2025-01-23,2025-02-18,Shipped,208,1456,8,SF Warehouse
ORD0003,S608,Macias-Garcia,C805,Jesus Ortiz,2,2025-02-17,2025-01-23,Shipped,901,1802,123,SF Warehouse
ORD0004,S131,Young LLC,C675,Elizabeth Arnold,9,2025-01-28,2025-02-09,Pending,852,7668,129,LA Warehouse
ORD0005,S232,Powers Inc,C068,Martin Pacheco,5,2025-01-25,2025-01-28,Shipped,935,4675,10,NY Warehouse
ORD0006,S720,Greene-Reyes,C929,Barbara Greene,9,2025-01-25,2025-02-20,Shipped,937,8433,168,LA Warehouse
ORD0007,S1024,Sweeney-Monroe,C592,Jonathan Gilbert,8,2025-01-10,2025-01-04,Shipped,147,1176,131,LA Warehouse
ORD0008,S976,Garcia Inc,C344,Lisa Perez,7,2025-01-27,2025-03-01,Shipped,903,6321,158,SF Warehouse
ORD0009,S044,"Lewis, Little and Coleman",C947,Carrie Jones,10,2025-02-20,2025-01-20,Pending,571,5710,174,SF Warehouse
ORD0010,S252,Williams Inc,C385,Ryan Mooney,4,2025-01-04,2025-01-19,Shipped,806,3224,20,NY Warehouse
ORD0011,S768,Harrington Group,C1042,Melissa Clarke,2,2025-01-21,2025-01-09,Delivered,203,406,84,NY Warehouse
ORD0012,S426,Taylor-Kelley,C1123,Michael Galvan Jr.,8,2025-01-13,2025-01-05,Pending,366,2928,76,SF Warehouse
ORD0013,S324,Barnes Ltd,C732,Andrew Rivera,7,2025-01-25,2025-03-04,Delivered,299,2093,139,SF Warehouse
ORD0014,S209,"Davenport, Vaughn and Hicks",C527,Daniel Frye,10,2025-02-22,2025-02-23,Shipped,301,3010,108,SF Warehouse
ORD0015,S110,Lewis-Diaz,C424,Connor Avery,8,2025-01-04,2025-01-02,Pending,74,592,150,LA Warehouse
ORD0016,S446,Smith-Hoffman,C152,Lisa Pacheco,1,2025-01-19,2025-01-18,Pending,584,584,153,NY Warehouse
ORD0017,S1080,Livingston Ltd,C1129,Robert Mcdowell,6,2025-01-23,2025-01-21,Delivered,399,2394,64,LA Warehouse
ORD0018,S830,Park-Rice,C582,Eric Williams,3,2025-02-15,2025-02-06,Pending,627,1881,33,NY Warehouse
ORD0019,S661,Gonzalez Group,C983,David Thomas,1,2025-02-25,2025-01-28,Shipped,504,504,113,SF Warehouse
ORD0020,S610,Kramer Ltd,C1187,Tonya Lopez,3,2025-03-04,2025-01-02,Delivered,915,2745,74,LA Warehouse
ORD0021,S425,Barnes PLC,C148,Crystal Sanders,2,2025-01-30,2025-02-18,Pending,549,1098,135,SF Warehouse
ORD0022,S571,Chan-Roberts,C1186,Christy Griffith,5,2025-02-06,2025-01-27,Pending,905,4525,81,SF Warehouse
ORD0023,S460,"Ritter, Lewis and Graham",C839,Jessica Davenport,4,2025-02-22,2025-01-21,Delivered,870,3480,136,SF Warehouse
ORD0024,S247,"Swanson, Chavez and Craig",C410,Kara Gregory,8,2025-02-19,2025-01-31,Shipped,394,3152,25,LA Warehouse
ORD0025,S512,Reynolds LLC,C297,Ernest Walker,3,2025-02-25,2025-01-26,Pending,679,2037,122,SF Warehouse
ORD0026,S813,"Brown, Smith and Jensen",C415,Crystal Moody,7,2025-01-28,2025-02-17,Delivered,504,3528,64,NY Warehouse
ORD0027,S970,Carter-Rogers,C810,Alex May,9,2025-02-26,2025-03-05,Delivered,889,8001,61,LA Warehouse
ORD0028,S342,Wells-Pollard,C1067,Loretta Whitehead,10,2025-02-19,2025-01-11,Delivered,208,2080,70,SF Warehouse
ORD0029,S839,"Miller, Park and Diaz",C795,Lauren Taylor,6,2025-02-04,2025-02-25,Pending,522,3132,112,NY Warehouse
ORD0030,S1068,Romero-Davis,C762,Carlos Bean,8,2025-03-05,2025-02-26,Pending,934,7472,14,NY Warehouse
ORD0031,S475,Blanchard and Sons,C551,Alexis Mclaughlin,3,2025-02-06,2025-01-13,Delivered,406,1218,39,LA Warehouse
ORD0032,S110,Lewis-Diaz,C595,Kimberly Mcgee,9,2025-01-09,2025-02-07,Delivered,937,8433,12,NY Warehouse
ORD0033,S403,"Willis, Valdez and Perkins",C889,Tracy Boyle,9,2025-02-14,2025-01-08,Pending,861,7749,181,NY Warehouse
ORD0034,S903,"Hansen, Cohen and Watkins",C1032,Robert Navarro,3,2025-01-27,2025-01-17,Delivered,129,387,183,SF Warehouse
